startLatitude,startLongitude,endLatitude,endLongitude,distance,duration,encodedPolyline
-36.840294,174.756016,-36.854137,174.763345,2361,1093,xjz_Fc`si`@@AHi@Dm@@IHc@R}@Ly@N{@Nu@Ju@Fs@Rw@N_AJw@Nw@Nu@Hm@Ls@Ps@Lo@TcAP}@Fo@Lo@H{@P{@L{@h@g@DcAReADu@?YAA????????FQRiAPgATeAPeAT_AL_APaANw@DM????VHp@@h@Vl@Rn@Pn@PhAKt@Pl@Hj@Fj@\`@Dr@DBAd@Nt@Lx@Pz@Zn@Rz@Jv@X|@VN`@??A???@?j@^JKx@JfA\dAZnAF`ARj@J???A?????@NNp@j@j@^|@Tx@Lz@Xz@^|@\p@LpAL|@Rb@`@FJ?@??BL????DAJu@?S??
-36.851283,174.758986,-36.845589,174.754152,965,401,no|_Fursi`@@???Qj@i@Ku@S_@d@iBk@}Ag@]l@WxAa@`BGB????QHg@dAYzAYpAk@b@C?????CH@j@A?????????s@?kAMiACgAGeACcALa@lAUzAQlAWrAWpAAT??
-36.850543,174.761537,-36.852656,174.763658,990,416,zj|_Fsbti`@@@??v@FfA\fAf@b@Z????????????^K\k@TY|@CdAM|Am@`@[h@[`@Y\qA@sAo@_@{@WuA_@wAc@cAu@s@N[pAKbAHUJsAJo@QMFAPDbAR`A\NCOG????
-36.854598,174.762714,-36.857815,174.76016,490,204,fd}_F}iti`@ECA???HDn@Hx@Zz@Rr@Tn@Xn@Tj@Xj@Tz@Nn@Pl@Px@XVVBpABbBCn@????
-36.847604,174.772704,-36.850178,174.764683,1440,505,nx{_Fkhvi`@?A??a@b@y@l@MPDr@aAb@mAX_@Rc@X_@n@Y`Am@nAiAN_@zAMhAWtAQvAWpASlAWrAMzAXd@FNDH?@???@?@??l@GlA\hA\jA^t@JhATfAP~@ZrAC~B^GX`A\h@XV?NIhAB_@RdA\jA`@d@XRJ??
-36.85767,174.766284,-36.856568,174.761873,619,179,lw}_Fg`ui`@????m@]}AgAw@j@g@x@a@r@b@p@p@v@r@r@j@t@?~@ItA]pBg@jC]dBS|@If@FH??
-36.851087,174.758433,-36.85225,174.752014,1286,428,hn|_Feosi`@Ag@A?M?Nn@WvBUrAc@xBKn@?@??DWb@eCNu@Js@Lm@Lo@f@GYdCg@lCg@bCj@lAl@~@z@r@dAw@fA}@dAw@PI??@AJI????FNPxBJtB??C~@e@pCc@lCe@nCSjB?A?@??
-36.850637,174.758957,-36.857815,174.759149,844,187,nk|_Forsi`@A?HBtA\`@u@jAeAh@WdBr@fBz@~A@bBv@nBIhBSnB?`Ba@tA?bAE~@KfAGdAC??
-36.860547,174.753893,-36.857226,174.758802,699,311,li~_Fyrri`@????IS]gAq@}AUy@K[UAYHc@T?@????UCq@PUFG?e@Ni@c@[{AY{A_@uAYu@c@m@UcAUaAUiAEoAJuAo@KQJ????
-36.845817,174.773392,-36.848355,174.772302,593,193,jm{_Fulvi`@?A@?p@JTfAo@pAy@~BMxAv@Jr@Sx@Uv@e@z@]`@?Nr@f@`@p@Zz@u@l@kAXq@??
-36.852934,174.767199,-36.851229,174.768648,259,193,xy|_F_fui`@????A@_@?I?U]?CPQQk@YWc@_@]]g@e@o@k@aAY[A????????
-36.853598,174.768268,-36.860646,174.76749,1119,338,~}|_Fului`@?AVJF?n@Q?Sb@p@z@p@l@^l@j@b@j@l@l@p@v@p@v@n@v@h@j@n@x@`@b@`@^n@r@b@j@p@n@h@bAp@x@v@j@r@Uz@{AbAoBhA{BhAyBhAyAT[^q@ZqAKK??
-36.85796,174.761725,-36.845002,174.766572,1564,516,fy}_Fycti`@???@Oh@i@ZaA]}@_@}@c@YI]IaAYaAa@{@YeAc@w@QcA]kA]q@Sg@QuAm@}Ae@qA]u@Se@QeAWcA[c@[???A????GMy@e@_Ac@cAa@iAa@gAe@UCTBcAE_Ae@qA_@_C_@e@?u@SkAQo@S??SAs@[wAKgAU{@WMA??
-36.840613,174.756089,-36.839135,174.7556,207,97,xlz_Fq`si`@????i@?c@z@m@|@o@n@u@m@s@EOS????
-36.857888,174.765805,-36.848807,174.764718,1305,588,xx}_Fi}ti`@AA?@KYm@wAsA}@_A?i@j@i@n@i@p@YLo@q@Y[m@q@e@y@k@g@_@a@c@o@YMa@]s@i@]Ue@?q@h@i@b@i@f@c@Xm@f@e@Zi@r@WZg@x@G^e@N[Z_@n@e@l@Yr@Er@c@T??@??@@?????CDa@T]F_@WaA[aAa@[Ya@[YAm@t@s@n@SF?@??
-36.848617,174.767257,-36.865354,174.770562,2774,889,z~{_Fkfui`@??CE`@Dp@p@VWWeAYsAUgAQkAS_AWiAACAMOw@ZuAn@cAt@_Ax@aAt@}@R]DI|@c@f@GfA`@b@^b@h@@@VZr@|@\[Mm@K@b@d@UYMIl@r@f@n@jA?jAGvAEn@GS@p@CjAGdBGzAOrAy@zA`AfAzAVh@@?p@v@pAt@zAr@xAl@f@BB@XPp@Vv@h@`Az@n@n@t@t@v@b@l@h@l@j@j@f@Z_@RsARsATsATsAT{An@]t@]bAY~@i@`AmAfBk@lBk@nBQtB^dB`@TV?@??????
-36.852831,174.7746,-36.84597,174.774455,916,222,dy|_Fgtvi`@?@e@t@aAhAsAmA}AyAgAe@s@b@c@pAyA@uBSsBNMDe@k@qBn@iB~@mA}@kAs@i@u@u@Cm@Q]r@Gr@??
-36.853643,174.768295,-36.850783,174.772946,588,183,f~|_F{lui`@@@??A[a@e@a@c@u@{@y@{@}@{@{@w@c@i@MSSuAu@aAu@{@q@cA{@gAw@cAb@gAd@g@??
-36.858027,174.759085,-36.858022,174.754961,449,151,ty}_Fissi`@?@a@Ns@d@IpABxAXxAXtAZtATrAXtAXlALdAgALEB????
-36.858116,174.763935,-36.888371,174.791028,4622,1129,fz}_Fsqti`@A???@?l@Zh@_@h@iAx@{AfAuBjAyB~@qB^u@Zw@ZwARqAPuAHwALwARqAVgAl@w@fA[fAa@lAQ`Bc@dBc@dBg@v@P`B^vB^bBb@l@o@P{AP{AR{AP_BTuANyAd@eAd@qAhA@dANjAT`@eBj@w@~AShAGtB^p@sA^_CRuAVoANaA^e@dAVlATJ?@@HBbABjAAbAB`AGjAKz@GdABdAC~@CdACr@O@C?????@????l@[h@w@|@_AlAeBlAaBlAcBbAyAjAcBlAeBpAgBrAeBpAuA`BqAbBmAdBsA`BoAtAmAzAoADK????????NKjA{@tAgAbBcBrAwArAwAvAyAx@}@fAkAzA}AhAmAvAiBhAcBt@gAdA{Ar@K????
-36.85793,174.759892,-36.862628,174.760173,652,155,`y}_Fixsi`@??AKHyA@}Ah@u@jA?hAXrAd@vAd@vAf@tAk@~@_AhB~@hB`AtAR\H??
-36.847524,174.773572,-36.84579,174.766492,755,354,~w{_Fymvi`@@???i@`@o@l@u@n@}@hAi@p@o@v@Mx@AD??????????????????????K\YdASpAE~@@f@Fj@dAb@`@jAAhAE~AIhBQtAOpASbASfADP??
-36.851057,174.760229,-36.844374,174.766899,1159,442,bn|_Fmzsi`@@@]O_@Sw@YoAO[K??QIaA]gAUaAa@s@Ww@Ui@I???A??[Qa@Ms@c@{@a@iAe@s@QEC??Hg@PeANg@@g@KmADk@Ls@c@m@aAq@{@]cAi@cAe@mAa@kAQgAeARcANeAZkA]W??
-36.844818,174.759434,-36.847801,174.761284,525,302,bg{_Fmusi`@???AT}@Xy@z@IP}@MsAAM???A????????`@Fp@Lj@Nv@ZdA^fAPjAf@T@????????????Do@ZgBZqA??
